"name","slug","aliases","category","kind","overview","mechanism_of_action","research_applications","dose_range","common_cycle_length","break_before_continuing","administration_notes","administration","half_life","fda_status","development_stage","keywords","pubmed_query","reference_1_title","reference_1_journal","reference_1_year","reference_1_url","reference_2_title","reference_2_journal","reference_2_year","reference_2_url","reference_3_title","reference_3_journal","reference_3_year","reference_3_url","notes_to_developer","content_status"
"5 Amino 1 MQ","5-amino-1-mq","","Metabolic","peptide","","","","","","","","","","","","5 Amino 1 MQ|Metabolic|peptide","5 Amino 1 MQ","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"ACTH","acth","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","ACTH|Nootropic & Neuropeptide|peptide","ACTH","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Adamax","adamax","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","Adamax|Nootropic & Neuropeptide|peptide","Adamax","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"AOD-9604","aod-9604","Anti-Obesity Drug 9604|hGH Fragment 176-191","Metabolic","peptide","Modified fragment of hGH (amino acids 176-191) that retains lipolytic activity without the diabetogenic or growth-promoting effects of full-length GH.","Modified fragment of hGH (amino acids 176-191) that retains lipolytic activity without the diabetogenic or growth-promoting effects of full-length GH. Stimulates lipolysis and inhibits lipogenesis via beta-3 adrenergic pathways.","","250â€“500 mcg/day","Varies by research protocol","Protocol-dependent","Subcutaneous injection, oral","Subcutaneous injection, oral","~30 minutes","Research only / status to be verified","Content pending researcher verification","Anti-Obesity Drug 9604|hGH Fragment 176-191|AOD-9604|Metabolic","AOD-9604","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"ARA-290","ara-290","Cibinetide|Erythropoietin-derived peptide","Immune Modulation","peptide","Engineered 11-amino acid peptide derived from helix B of erythropoietin.","Engineered 11-amino acid peptide derived from helix B of erythropoietin. Selectively activates the innate repair receptor (EPOR/Î²cR heterodimer) without erythropoietic activity. Anti-inflammatory, tissue-protective, and promotes Schwann cell-mediated nerve repair.","","4 mg IV or SC (clinical trials)","Varies by research protocol","Protocol-dependent","Intravenous, subcutaneous injection","Intravenous, subcutaneous injection","~11 minutes","Research only / status to be verified","Content pending researcher verification","Cibinetide|Erythropoietin-derived peptide|ARA-290|Immune Modulation","ARA-290","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Bonomarlot","bonomarlot","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Bonomarlot|Bioregulator Peptide|bioregulator","Bonomarlot","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Bonothyrk","bonothyrk","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Bonothyrk|Bioregulator Peptide|bioregulator","Bonothyrk","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"BPC-157","bpc-157","Body Protection Compound 157|Bepecin","Healing & Recovery","peptide","Synthetic pentadecapeptide derived from gastric juice protective protein.","Synthetic pentadecapeptide derived from gastric juice protective protein. Promotes angiogenesis, modulates nitric oxide system, upregulates growth factor receptors, and accelerates tendon-to-bone healing via FAK-paxillin pathway activation.","","200â€“500 mcg/day","Varies by research protocol","Protocol-dependent","Subcutaneous injection, oral","Subcutaneous injection, oral","4â€“6 hours","Research only / status to be verified","Content pending researcher verification","Body Protection Compound 157|Bepecin|BPC-157|Healing & Recovery","BPC-157","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Bronchogen","bronchogen","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Bronchogen|Bioregulator Peptide|bioregulator","Bronchogen","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Cagrilintide","cagrilintide","","Metabolic","peptide","","","","","","","","","","","","Cagrilintide|Metabolic|peptide","Cagrilintide","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Calcitonin","calcitonin","","Metabolic","peptide","","","","","","","","","","","","Calcitonin|Metabolic|peptide","Calcitonin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Cardigen","cardigen","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Cardigen|Bioregulator Peptide|bioregulator","Cardigen","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Cartalax","cartalax","AED Tripeptide|Ala-Glu-Asp","Bioregulator Peptide","bioregulator","Synthetic tripeptide bioregulator targeting cartilage and musculoskeletal tissue.","Synthetic tripeptide bioregulator targeting cartilage and musculoskeletal tissue. Modulates chondrocyte gene expression, supports cartilage matrix synthesis, and regulates musculoskeletal aging processes.","","10â€“20 mcg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual","Oral, sublingual","Short (tripeptide)","Research only / status to be verified","Content pending researcher verification","AED Tripeptide|Ala-Glu-Asp|Cartalax|Bioregulator Peptide","Cartalax","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Cerebrolysin","cerebrolysin","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Cerebrolysin|Bioregulator Peptide|bioregulator","Cerebrolysin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Cerluten","cerluten","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Cerluten|Bioregulator Peptide|bioregulator","Cerluten","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Chonluten","chonluten","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Chonluten|Bioregulator Peptide|bioregulator","Chonluten","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"CJC without DAC","cjc-1295","","Growth Hormone Secretagogue","peptide","","","","","","","","","","","","CJC without DAC|Growth Hormone Secretagogue|peptide","CJC without DAC","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"CJC-1295 DAC","cjc-1295-dac","CJC-1295 with Drug Affinity Complex","Growth Hormone Secretagogue","peptide","Long-acting GHRH analogue with a Drug Affinity Complex (DAC) that covalently binds serum albumin after injection, dramatically extending half-life.","Long-acting GHRH analogue with a Drug Affinity Complex (DAC) that covalently binds serum albumin after injection, dramatically extending half-life. Produces sustained GH and IGF-1 elevation over days rather than hours.","","1â€“2 mg per week","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","6â€“8 days","Research only / status to be verified","Content pending researcher verification","CJC-1295 with Drug Affinity Complex|CJC-1295 DAC|Growth Hormone Secretagogue","CJC-1295 DAC","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Cortagen","cortagen","Brain Cortex Peptide Bioregulator","Bioregulator Peptide","bioregulator","Peptide bioregulator derived from cerebral cortex tissue.","Peptide bioregulator derived from cerebral cortex tissue. Normalizes cortical neuron gene expression, supports synaptic plasticity, modulates neurotransmitter balance, and provides neuroprotection during aging and neurodegeneration.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Brain Cortex Peptide Bioregulator|Cortagen|Bioregulator Peptide","Cortagen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Crystagen","crystagen","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Crystagen|Bioregulator Peptide|bioregulator","Crystagen","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"DSIP","dsip","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","DSIP|Nootropic & Neuropeptide|peptide","DSIP","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Endoluten","endoluten","Pineal Gland Peptide Complex","Bioregulator Peptide","bioregulator","Complex peptide bioregulator derived from pineal gland tissue.","Complex peptide bioregulator derived from pineal gland tissue. Supports melatonin synthesis, modulates neuroendocrine function, regulates circadian rhythms, and influences telomerase activity in pinealocytes.","","1â€“2 capsules/day (complex preparation)","Varies by research protocol","Protocol-dependent","Oral","Oral","Variable (complex)","Research only / status to be verified","Content pending researcher verification","Pineal Gland Peptide Complex|Endoluten|Bioregulator Peptide","Endoluten","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
